cliente_id,segmento,complexidade_cliente,frequencia_visita,visitas_previstas_mes,registros_realizados_mes,taxa_cumprimento_visitas,nota_checklist,qtd_nao_conformidades,qtd_nc_peso_1,qtd_nc_peso_2,qtd_nc_peso_3,qtd_nc_recorrentes,tempo_permanencia_min,tempo_minimo_esperado,desvio_tempo,possivel_subregistro,risco_operacional
C024,restaurante,intermediario,mensal,1,1,1.0,78.2,5,5,0,0,0,116,120,-4,0,atencao
C025,restaurante,intermediario,mensal,1,1,1.0,93.2,0,0,0,0,0,116,120,-4,0,baixo
C026,restaurante,complexo,quinzenal,2,2,1.0,86.8,1,0,0,1,0,127,180,-53,1,atencao
C027,restaurante,simples,quinzenal,2,2,1.0,85.0,1,1,0,0,0,124,90,34,0,baixo
C028,restaurante,intermediario,quinzenal,2,1,0.5,84.0,2,1,1,0,0,212,120,92,0,critico
C029,restaurante,intermediario,semanal,4,3,0.75,82.5,3,2,1,0,0,135,120,15,0,critico
C030,restaurante,extra_simples,mensal,1,1,1.0,71.3,5,1,2,2,1,30,60,-30,0,critico
C031,restaurante,intermediario,mensal,1,1,1.0,75.7,2,2,0,0,0,95,120,-25,0,atencao
C032,restaurante,simples,mensal,1,1,1.0,92.9,3,0,1,2,1,113,90,23,0,critico
C033,restaurante,extra_simples,mensal,1,1,1.0,100.0,1,0,1,0,0,75,60,15,0,baixo
C034,restaurante,extra_complexo,quinzenal,2,2,1.0,56.4,11,6,5,0,1,243,240,3,0,critico
C035,restaurante,extra_complexo,mensal,1,1,1.0,71.3,5,4,0,1,0,275,240,35,0,atencao
C036,restaurante,complexo,mensal,1,1,1.0,71.8,8,6,2,0,1,127,180,-53,0,atencao
C037,restaurante,simples,mensal,1,1,1.0,78.6,1,1,0,0,0,117,90,27,0,atencao
C038,restaurante,extra_simples,quinzenal,2,1,0.5,89.3,0,0,0,0,0,70,60,10,0,critico
C039,restaurante,intermediario,quinzenal,2,1,0.5,77.6,4,2,1,1,0,96,120,-24,1,critico
C040,restaurante,intermediario,semanal,4,3,0.75,81.5,4,3,1,0,0,83,120,-37,0,atencao
C041,restaurante,simples,mensal,1,1,1.0,97.3,0,0,0,0,0,98,90,8,0,baixo
C042,restaurante,intermediario,quinzenal,2,2,1.0,84.4,1,1,0,0,0,168,120,48,0,atencao
C043,restaurante,extra_simples,quinzenal,2,1,0.5,88.7,2,1,0,1,0,56,60,-4,0,critico
C044,restaurante,extra_complexo,mensal,1,1,1.0,87.4,2,2,0,0,0,226,240,-14,0,baixo
C045,restaurante,simples,quinzenal,2,2,1.0,93.3,0,0,0,0,0,100,90,10,0,baixo
C046,restaurante,intermediario,quinzenal,2,2,1.0,73.9,5,4,1,0,0,181,120,61,0,atencao
C047,restaurante,simples,semanal,4,3,0.75,65.4,5,3,1,1,1,107,90,17,0,atencao
C048,restaurante,intermediario,mensal,1,1,1.0,63.1,6,2,3,1,0,142,120,22,0,atencao
C049,restaurante,intermediario,quinzenal,2,1,0.5,86.2,1,1,0,0,0,163,120,43,0,critico
C050,restaurante,simples,mensal,1,0,0.0,72.4,8,5,1,2,1,109,90,19,0,critico
C051,restaurante,extra_complexo,quinzenal,2,2,1.0,52.9,7,6,1,0,0,229,240,-11,0,critico
C052,restaurante,complexo,mensal,1,1,1.0,60.9,5,2,1,2,0,137,180,-43,0,critico
C053,restaurante,extra_complexo,quinzenal,2,1,0.5,56.8,4,1,2,1,1,224,240,-16,0,critico
C054,restaurante,complexo,quinzenal,2,1,0.5,80.2,4,3,0,1,0,156,180,-24,0,critico
C055,restaurante,intermediario,mensal,1,1,1.0,73.1,0,0,0,0,0,146,120,26,0,atencao
C056,restaurante,extra_complexo,quinzenal,2,2,1.0,48.5,8,4,3,1,1,276,240,36,0,critico
C057,restaurante,extra_simples,semanal,4,4,1.0,85.4,1,1,0,0,0,68,60,8,0,baixo
C058,restaurante,simples,semanal,4,3,0.75,82.7,3,2,1,0,1,56,90,-34,0,atencao
C059,restaurante,extra_simples,mensal,1,1,1.0,79.2,3,2,1,0,0,117,60,57,0,atencao
C060,restaurante,simples,quinzenal,2,2,1.0,93.9,2,1,1,0,0,82,90,-8,0,baixo
C061,restaurante,intermediario,mensal,1,1,1.0,69.9,11,4,6,1,2,144,120,24,0,atencao
C062,restaurante,simples,quinzenal,2,2,1.0,93.3,3,3,0,0,0,96,90,6,0,baixo
C063,restaurante,complexo,semanal,4,3,0.75,77.2,7,4,1,2,1,195,180,15,0,critico
C064,restaurante,intermediario,semanal,4,3,0.75,86.1,0,0,0,0,0,143,120,23,0,atencao
C065,restaurante,simples,quinzenal,2,2,1.0,66.8,4,3,1,0,1,74,90,-16,0,atencao
C066,restaurante,intermediario,quinzenal,2,2,1.0,76.2,2,1,1,0,0,165,120,45,0,atencao
C067,restaurante,simples,quinzenal,2,2,1.0,79.4,0,0,0,0,0,47,90,-43,0,atencao
C068,restaurante,complexo,quinzenal,2,2,1.0,52.9,5,0,4,1,1,158,180,-22,0,critico
C069,restaurante,extra_simples,mensal,1,1,1.0,98.3,0,0,0,0,0,102,60,42,0,baixo
C070,restaurante,extra_complexo,quinzenal,2,2,1.0,55.2,4,3,0,1,0,270,240,30,0,critico
C071,restaurante,complexo,quinzenal,2,2,1.0,62.7,4,3,1,0,0,265,180,85,0,atencao
C072,restaurante,simples,mensal,1,1,1.0,67.8,5,4,0,1,0,97,90,7,0,atencao
C073,restaurante,extra_simples,quinzenal,2,2,1.0,93.4,2,1,0,1,0,114,60,54,0,baixo
C074,restaurante,complexo,quinzenal,2,2,1.0,51.7,8,5,3,0,0,133,180,-47,0,critico
C075,restaurante,complexo,mensal,1,0,0.0,77.4,5,5,0,0,0,147,180,-33,0,critico
C076,restaurante,complexo,mensal,1,1,1.0,82.5,4,2,2,0,0,216,180,36,0,atencao
C077,restaurante,complexo,semanal,4,3,0.75,76.4,3,2,1,0,0,137,180,-43,0,atencao
C078,restaurante,extra_simples,mensal,1,1,1.0,93.6,1,0,1,0,0,57,60,-3,0,baixo
C079,restaurante,intermediario,quinzenal,2,1,0.5,84.1,4,2,1,1,0,161,120,41,0,critico
C080,restaurante,simples,quinzenal,2,2,1.0,68.6,2,0,1,1,1,110,90,20,0,atencao
C081,restaurante,complexo,quinzenal,2,1,0.5,87.2,2,2,0,0,0,189,180,9,0,critico
C082,restaurante,intermediario,mensal,1,1,1.0,69.5,8,2,5,1,4,113,120,-7,0,critico
C083,restaurante,simples,quinzenal,2,2,1.0,79.2,3,2,0,1,0,101,90,11,0,atencao
C084,restaurante,extra_simples,quinzenal,2,2,1.0,81.0,1,1,0,0,0,80,60,20,0,atencao
C085,restaurante,simples,quinzenal,2,2,1.0,85.9,4,2,1,1,2,75,90,-15,0,baixo
C086,restaurante,simples,quinzenal,2,2,1.0,73.5,5,2,0,3,0,106,90,16,0,critico
C087,restaurante,complexo,semanal,4,3,0.75,70.8,6,2,2,2,1,221,180,41,0,critico
C088,restaurante,intermediario,semanal,4,3,0.75,60.2,4,3,0,1,0,119,120,-1,0,atencao
C089,restaurante,complexo,semanal,4,3,0.75,84.0,4,4,0,0,0,191,180,11,0,atencao
C090,restaurante,intermediario,semanal,4,3,0.75,83.0,3,3,0,0,0,141,120,21,0,atencao
C091,restaurante,simples,semanal,4,3,0.75,76.5,3,3,0,0,0,111,90,21,0,atencao
C092,restaurante,complexo,quinzenal,2,1,0.5,64.4,9,4,3,2,0,215,180,35,0,critico
C093,restaurante,complexo,semanal,4,2,0.5,77.7,5,1,1,3,3,159,180,-21,0,critico
C094,restaurante,intermediario,quinzenal,2,1,0.5,66.5,6,3,2,1,4,110,120,-10,0,critico
C095,restaurante,complexo,mensal,1,1,1.0,71.5,3,2,0,1,0,174,180,-6,0,atencao
C096,restaurante,intermediario,quinzenal,2,2,1.0,88.9,4,1,1,2,2,99,120,-21,0,critico
C097,restaurante,intermediario,mensal,1,1,1.0,65.3,5,4,1,0,0,72,120,-48,0,atencao
C098,restaurante,intermediario,semanal,4,3,0.75,79.4,3,1,1,1,1,30,120,-90,0,critico
C099,restaurante,extra_simples,semanal,4,4,1.0,88.8,1,0,0,1,0,99,60,39,0,baixo
C100,restaurante,simples,semanal,4,3,0.75,78.8,2,1,1,0,0,48,90,-42,0,atencao
C001,restaurante,extra_simples,semanal,4,3,0.75,79.0,2,1,0,1,0,110,60,50,0,atencao
C002,restaurante,intermediario,quinzenal,2,2,1.0,89.6,3,2,0,1,1,148,120,28,0,baixo
C003,restaurante,simples,semanal,4,2,0.5,72.8,3,2,0,1,0,82,90,-8,0,critico
C004,restaurante,intermediario,semanal,4,3,0.75,53.3,5,2,1,2,2,144,120,24,0,critico
C005,restaurante,extra_complexo,semanal,4,4,1.0,72.7,7,5,1,1,0,265,240,25,0,atencao
C006,restaurante,simples,quinzenal,2,2,1.0,65.6,3,1,1,1,0,61,90,-29,0,atencao
C007,restaurante,intermediario,quinzenal,2,2,1.0,83.3,1,0,0,1,0,126,120,6,0,atencao
C008,restaurante,complexo,quinzenal,2,2,1.0,86.0,5,3,1,1,0,160,180,-20,0,baixo
C009,restaurante,simples,quinzenal,2,2,1.0,87.6,3,2,1,0,0,114,90,24,0,baixo
C010,restaurante,extra_simples,mensal,1,1,1.0,97.9,0,0,0,0,0,42,60,-18,1,baixo
C011,restaurante,simples,semanal,4,3,0.75,100.0,2,2,0,0,0,92,90,2,0,atencao
C012,restaurante,simples,mensal,1,1,1.0,91.6,2,1,1,0,1,90,90,0,0,baixo
C013,restaurante,extra_complexo,quinzenal,2,2,1.0,69.0,3,1,1,1,0,256,240,16,0,atencao
C014,restaurante,complexo,semanal,4,4,1.0,89.6,5,4,0,1,0,239,180,59,0,baixo
C015,restaurante,intermediario,mensal,1,1,1.0,96.1,1,0,1,0,0,119,120,-1,0,baixo
C016,restaurante,complexo,mensal,1,1,1.0,91.2,2,1,0,1,0,226,180,46,0,baixo
C017,restaurante,complexo,semanal,4,2,0.5,64.1,7,2,4,1,2,203,180,23,0,critico
C018,restaurante,simples,quinzenal,2,1,0.5,63.8,1,0,1,0,0,137,90,47,0,critico
C019,restaurante,complexo,mensal,1,1,1.0,63.4,4,3,1,0,1,179,180,-1,0,atencao
C020,restaurante,intermediario,mensal,1,1,1.0,83.4,2,2,0,0,0,147,120,27,0,atencao
C021,restaurante,complexo,semanal,4,3,0.75,71.9,7,3,3,1,3,187,180,7,0,critico
C022,restaurante,complexo,quinzenal,2,1,0.5,67.5,10,6,3,1,2,99,180,-81,0,critico
C023,restaurante,simples,quinzenal,2,1,0.5,86.7,1,0,1,0,0,62,90,-28,0,critico
C024,restaurante,simples,quinzenal,2,2,1.0,62.4,5,1,2,2,3,112,90,22,0,critico
C025,restaurante,simples,quinzenal,2,2,1.0,81.7,4,2,1,1,1,110,90,20,0,atencao
C026,restaurante,intermediario,quinzenal,2,2,1.0,88.4,1,1,0,0,0,87,120,-33,0,atencao
C027,restaurante,complexo,quinzenal,2,1,0.5,76.6,9,2,6,1,3,196,180,16,1,critico
C028,restaurante,complexo,mensal,1,1,1.0,78.3,2,2,0,0,0,204,180,24,0,atencao
C029,restaurante,extra_simples,semanal,4,4,1.0,100.0,1,1,0,0,0,62,60,2,0,baixo
C030,restaurante,intermediario,quinzenal,2,2,1.0,74.2,3,1,2,0,0,148,120,28,0,atencao
C031,restaurante,intermediario,mensal,1,1,1.0,67.2,4,1,2,1,1,144,120,24,0,atencao
C032,restaurante,simples,mensal,1,0,0.0,94.3,2,1,1,0,1,93,90,3,0,critico
C033,restaurante,simples,quinzenal,2,2,1.0,94.1,0,0,0,0,0,79,90,-11,0,baixo
C034,restaurante,simples,quinzenal,2,2,1.0,86.7,1,1,0,0,0,126,90,36,0,baixo
C035,restaurante,extra_complexo,semanal,4,4,1.0,63.1,7,3,2,2,4,266,240,26,0,critico
C036,restaurante,simples,quinzenal,2,1,0.5,80.0,4,0,3,1,0,53,90,-37,0,critico
C037,restaurante,intermediario,quinzenal,2,2,1.0,59.7,6,1,3,2,0,133,120,13,0,critico
C038,restaurante,complexo,quinzenal,2,2,1.0,83.4,3,3,0,0,0,154,180,-26,0,atencao
C039,restaurante,intermediario,quinzenal,2,2,1.0,87.9,1,0,1,0,1,97,120,-23,0,baixo
C040,restaurante,extra_complexo,quinzenal,2,1,0.5,49.3,7,6,1,0,1,232,240,-8,0,critico
C041,restaurante,extra_complexo,semanal,4,4,1.0,75.4,4,2,0,2,0,253,240,13,0,critico
C042,restaurante,simples,quinzenal,2,1,0.5,84.8,2,1,1,0,0,106,90,16,0,critico
C043,restaurante,intermediario,quinzenal,2,1,0.5,62.7,6,2,3,1,3,114,120,-6,0,critico
C044,restaurante,simples,quinzenal,2,2,1.0,65.5,6,2,3,1,2,84,90,-6,0,atencao
C045,restaurante,simples,semanal,4,3,0.75,84.5,3,1,2,0,1,79,90,-11,0,atencao
C046,restaurante,extra_simples,mensal,1,1,1.0,80.2,2,1,1,0,0,94,60,34,0,atencao
C047,restaurante,intermediario,quinzenal,2,2,1.0,96.8,2,1,1,0,0,40,120,-80,1,atencao
C048,restaurante,intermediario,mensal,1,1,1.0,86.4,4,2,0,2,2,117,120,-3,0,critico
C049,restaurante,extra_simples,mensal,1,1,1.0,90.7,1,0,1,0,0,109,60,49,0,baixo
C050,restaurante,simples,quinzenal,2,2,1.0,86.3,1,1,0,0,0,110,90,20,0,baixo
C051,restaurante,extra_complexo,semanal,4,3,0.75,81.0,7,3,2,2,2,290,240,50,0,critico
C052,restaurante,simples,quinzenal,2,2,1.0,90.2,1,0,1,0,0,33,90,-57,1,atencao
C053,restaurante,simples,quinzenal,2,1,0.5,86.0,3,1,2,0,0,57,90,-33,0,critico
C054,restaurante,intermediario,mensal,1,1,1.0,63.2,7,6,1,0,1,141,120,21,0,atencao
C055,restaurante,extra_complexo,quinzenal,2,2,1.0,100.0,4,3,1,0,0,299,240,59,0,baixo
C056,restaurante,simples,semanal,4,3,0.75,66.8,4,3,1,0,0,60,90,-30,0,atencao
C057,restaurante,intermediario,quinzenal,2,1,0.5,71.2,4,4,0,0,0,114,120,-6,0,critico
C058,restaurante,complexo,quinzenal,2,2,1.0,50.1,7,4,0,3,3,201,180,21,0,critico
C059,restaurante,simples,quinzenal,2,1,0.5,86.5,1,1,0,0,0,51,90,-39,0,critico
C060,restaurante,complexo,quinzenal,2,2,1.0,71.8,9,5,3,1,0,205,180,25,0,atencao
C061,restaurante,intermediario,quinzenal,2,1,0.5,84.2,3,0,3,0,2,46,120,-74,1,critico
C062,restaurante,intermediario,mensal,1,1,1.0,54.1,7,6,1,0,1,141,120,21,0,critico
C063,restaurante,intermediario,quinzenal,2,1,0.5,88.4,3,2,1,0,2,96,120,-24,0,critico
C064,restaurante,intermediario,quinzenal,2,2,1.0,65.3,2,1,1,0,0,113,120,-7,0,atencao
C065,restaurante,extra_simples,semanal,4,4,1.0,83.2,2,1,1,0,0,83,60,23,0,atencao
C066,restaurante,complexo,semanal,4,3,0.75,81.2,2,2,0,0,1,202,180,22,0,atencao
C067,restaurante,simples,quinzenal,2,2,1.0,83.1,1,1,0,0,0,94,90,4,0,atencao
C068,restaurante,simples,semanal,4,2,0.5,84.0,6,3,2,1,1,124,90,34,0,critico
C069,restaurante,extra_simples,semanal,4,2,0.5,94.6,1,0,1,0,0,30,60,-30,0,critico
C070,restaurante,intermediario,quinzenal,2,2,1.0,80.1,7,4,1,2,0,132,120,12,0,critico
C071,restaurante,intermediario,semanal,4,3,0.75,70.9,5,1,3,1,1,102,120,-18,0,atencao
C072,restaurante,extra_simples,mensal,1,1,1.0,83.0,1,1,0,0,0,91,60,31,0,atencao
C073,restaurante,intermediario,semanal,4,4,1.0,77.5,4,3,1,0,0,147,120,27,0,atencao
C074,restaurante,simples,quinzenal,2,1,0.5,69.3,4,3,0,1,0,116,90,26,0,critico
C075,restaurante,intermediario,quinzenal,2,1,0.5,87.0,3,2,1,0,1,175,120,55,0,critico
C076,restaurante,simples,mensal,1,1,1.0,83.5,1,1,0,0,0,128,90,38,0,atencao
C077,restaurante,intermediario,semanal,4,3,0.75,75.9,5,3,1,1,0,121,120,1,0,atencao
C078,restaurante,intermediario,quinzenal,2,1,0.5,89.3,3,2,1,0,0,126,120,6,0,critico
C079,restaurante,extra_complexo,mensal,1,1,1.0,63.6,12,5,4,3,1,270,240,30,0,critico
C080,restaurante,simples,mensal,1,1,1.0,77.8,2,2,0,0,0,99,90,9,0,atencao
C081,restaurante,simples,mensal,1,1,1.0,74.2,3,1,1,1,3,116,90,26,0,atencao
C082,restaurante,simples,quinzenal,2,2,1.0,84.1,0,0,0,0,0,30,90,-60,1,atencao
C083,restaurante,extra_complexo,semanal,4,4,1.0,68.7,5,3,2,0,1,308,240,68,0,atencao
C084,restaurante,complexo,mensal,1,1,1.0,62.0,4,1,3,0,0,191,180,11,0,atencao
C085,restaurante,simples,mensal,1,1,1.0,77.9,4,2,2,0,2,46,90,-44,0,atencao
C086,restaurante,intermediario,quinzenal,2,2,1.0,67.1,5,2,1,2,1,99,120,-21,0,critico
C087,restaurante,complexo,quinzenal,2,2,1.0,61.5,3,2,1,0,0,125,180,-55,0,atencao
C088,restaurante,intermediario,quinzenal,2,2,1.0,54.2,5,4,0,1,1,93,120,-27,0,critico
C089,restaurante,intermediario,mensal,1,0,0.0,72.2,5,4,1,0,0,122,120,2,0,critico
C090,restaurante,simples,semanal,4,3,0.75,59.6,2,1,0,1,1,140,90,50,0,critico
C091,restaurante,extra_simples,quinzenal,2,2,1.0,79.4,3,3,0,0,0,75,60,15,0,atencao
C092,restaurante,complexo,quinzenal,2,2,1.0,62.6,4,3,1,0,0,196,180,16,0,atencao
C093,restaurante,extra_complexo,quinzenal,2,2,1.0,77.6,3,2,1,0,0,218,240,-22,0,atencao
C094,restaurante,intermediario,quinzenal,2,2,1.0,62.8,4,3,0,1,0,101,120,-19,0,atencao
C095,restaurante,simples,semanal,4,2,0.5,70.9,3,3,0,0,0,72,90,-18,0,critico
C096,restaurante,simples,quinzenal,2,2,1.0,75.4,4,2,1,1,1,73,90,-17,0,atencao
C097,restaurante,complexo,quinzenal,2,2,1.0,63.0,1,1,0,0,0,178,180,-2,0,critico
C098,restaurante,complexo,quinzenal,2,2,1.0,86.4,7,5,2,0,2,181,180,1,0,baixo
C099,restaurante,complexo,semanal,4,2,0.5,56.3,7,5,1,1,1,179,180,-1,0,critico
C100,restaurante,complexo,quinzenal,2,1,0.5,65.4,4,2,2,0,2,169,180,-11,0,critico
C001,restaurante,intermediario,quinzenal,2,1,0.5,79.0,7,4,1,2,1,130,120,10,0,critico
C002,restaurante,extra_simples,semanal,4,3,0.75,95.6,0,0,0,0,0,54,60,-6,0,atencao
C003,restaurante,simples,quinzenal,2,1,0.5,75.4,5,4,0,1,1,47,90,-43,0,critico
C004,restaurante,complexo,semanal,4,3,0.75,47.0,6,4,1,1,2,190,180,10,0,critico
C005,restaurante,intermediario,semanal,4,3,0.75,73.2,7,2,5,0,2,122,120,2,0,atencao
C006,restaurante,extra_simples,mensal,1,1,1.0,100.0,0,0,0,0,0,30,60,-30,0,baixo
C007,restaurante,simples,quinzenal,2,1,0.5,83.4,2,2,0,0,1,77,90,-13,0,critico
C008,restaurante,intermediario,mensal,1,1,1.0,77.8,6,4,2,0,1,144,120,24,0,atencao
C009,restaurante,extra_simples,quinzenal,2,1,0.5,72.2,3,2,0,1,0,30,60,-30,0,critico
C010,restaurante,simples,mensal,1,1,1.0,66.0,3,2,1,0,0,57,90,-33,0,atencao
C011,restaurante,intermediario,mensal,1,1,1.0,75.2,6,4,2,0,1,116,120,-4,0,atencao
C012,restaurante,intermediario,quinzenal,2,2,1.0,57.9,9,6,1,2,2,145,120,25,0,atencao
C013,restaurante,intermediario,quinzenal,2,2,1.0,84.4,1,0,0,1,0,180,120,60,0,atencao
C014,restaurante,simples,quinzenal,2,1,0.5,69.8,5,2,2,1,0,114,90,24,0,critico
C015,restaurante,complexo,quinzenal,2,2,1.0,69.7,1,1,0,0,0,222,180,42,1,atencao
C016,restaurante,simples,mensal,1,1,1.0,57.4,5,4,0,1,0,105,90,15,0,critico
C017,restaurante,simples,mensal,1,1,1.0,75.3,5,4,1,0,1,74,90,-16,0,atencao
C018,restaurante,complexo,mensal,1,1,1.0,55.8,7,4,1,2,3,209,180,29,0,critico
C019,restaurante,intermediario,semanal,4,3,0.75,47.1,7,4,3,0,1,123,120,3,0,critico
C020,restaurante,complexo,mensal,1,1,1.0,76.5,3,1,2,0,2,200,180,20,0,atencao
C021,restaurante,intermediario,mensal,1,1,1.0,94.7,3,1,2,0,0,98,120,-22,0,baixo
C022,restaurante,intermediario,semanal,4,2,0.5,88.6,7,6,1,0,0,140,120,20,0,critico
C023,restaurante,extra_simples,semanal,4,4,1.0,93.2,1,1,0,0,0,59,60,-1,0,baixo
C024,restaurante,intermediario,mensal,1,1,1.0,70.0,2,1,0,1,0,133,120,13,0,atencao
C025,restaurante,simples,quinzenal,2,2,1.0,89.7,2,0,2,0,1,92,90,2,0,baixo
C026,restaurante,simples,mensal,1,1,1.0,94.7,1,1,0,0,0,86,90,-4,0,baixo
C027,restaurante,extra_complexo,semanal,4,3,0.75,66.6,3,1,2,0,1,267,240,27,0,atencao
C028,restaurante,intermediario,mensal,1,1,1.0,60.8,5,3,1,1,2,114,120,-6,0,atencao
C029,restaurante,complexo,quinzenal,2,1,0.5,64.0,4,4,0,0,0,141,180,-39,0,critico
C030,restaurante,intermediario,semanal,4,3,0.75,95.4,0,0,0,0,0,70,120,-50,1,atencao
C031,restaurante,complexo,semanal,4,2,0.5,69.1,3,2,1,0,0,195,180,15,0,critico
C032,restaurante,intermediario,mensal,1,1,1.0,35.1,4,1,2,1,0,113,120,-7,0,critico
C033,restaurante,intermediario,mensal,1,1,1.0,57.4,7,2,1,4,2,74,120,-46,0,critico
C034,restaurante,intermediario,quinzenal,2,2,1.0,69.9,4,1,2,1,1,129,120,9,0,atencao
C035,restaurante,simples,quinzenal,2,2,1.0,92.4,0,0,0,0,0,92,90,2,0,baixo
C036,restaurante,complexo,mensal,1,1,1.0,66.7,8,5,3,0,1,174,180,-6,0,atencao
C037,restaurante,simples,quinzenal,2,1,0.5,92.7,3,3,0,0,0,102,90,12,0,critico
C038,restaurante,extra_simples,mensal,1,1,1.0,78.7,1,0,1,0,1,102,60,42,0,atencao
C039,restaurante,intermediario,quinzenal,2,2,1.0,51.4,5,4,1,0,0,165,120,45,0,critico
C040,restaurante,simples,quinzenal,2,1,0.5,74.1,5,1,4,0,1,99,90,9,0,critico
C041,restaurante,extra_complexo,quinzenal,2,1,0.5,69.1,4,1,2,1,0,249,240,9,0,critico
C042,restaurante,extra_complexo,quinzenal,2,1,0.5,68.1,4,1,3,0,2,257,240,17,0,critico
C043,restaurante,extra_complexo,mensal,1,1,1.0,49.9,10,6,2,2,1,261,240,21,0,critico
C044,restaurante,intermediario,quinzenal,2,1,0.5,70.8,3,1,1,1,0,118,120,-2,0,critico
C045,restaurante,extra_simples,quinzenal,2,1,0.5,100.0,0,0,0,0,0,68,60,8,0,critico
C046,restaurante,extra_complexo,mensal,1,1,1.0,50.2,13,6,6,1,3,205,240,-35,1,critico
C047,restaurante,intermediario,quinzenal,2,1,0.5,82.9,2,1,1,0,0,128,120,8,0,critico
C048,restaurante,extra_complexo,quinzenal,2,2,1.0,39.8,9,4,3,2,3,266,240,26,0,critico
C049,restaurante,extra_complexo,mensal,1,0,0.0,75.4,4,2,2,0,0,237,240,-3,0,critico
C050,restaurante,complexo,quinzenal,2,2,1.0,59.3,5,3,2,0,0,186,180,6,0,critico
C051,restaurante,simples,semanal,4,4,1.0,84.8,2,2,0,0,0,61,90,-29,0,atencao
C052,restaurante,intermediario,mensal,1,1,1.0,59.5,4,2,1,1,0,88,120,-32,0,critico
C053,restaurante,complexo,quinzenal,2,1,0.5,73.5,4,1,1,2,3,195,180,15,0,critico
C054,restaurante,simples,quinzenal,2,2,1.0,69.1,4,3,0,1,0,73,90,-17,0,critico
C055,restaurante,simples,semanal,4,3,0.75,71.4,3,1,2,0,1,41,90,-49,0,atencao
C056,restaurante,intermediario,mensal,1,1,1.0,80.3,3,0,2,1,2,93,120,-27,0,atencao
C057,restaurante,extra_complexo,quinzenal,2,2,1.0,59.8,8,4,3,1,1,223,240,-17,0,critico
C058,restaurante,intermediario,quinzenal,2,2,1.0,79.6,8,5,2,1,2,149,120,29,0,atencao
C059,restaurante,intermediario,mensal,1,1,1.0,72.7,7,3,2,2,3,131,120,11,0,critico
C060,restaurante,extra_simples,mensal,1,1,1.0,85.8,0,0,0,0,0,37,60,-23,1,baixo
C061,restaurante,intermediario,semanal,4,3,0.75,80.3,6,2,4,0,0,108,120,-12,0,critico
C062,restaurante,extra_complexo,quinzenal,2,2,1.0,60.8,7,4,2,1,0,291,240,51,0,atencao
C063,restaurante,simples,quinzenal,2,2,1.0,68.0,6,3,2,1,0,123,90,33,0,atencao
C064,restaurante,intermediario,mensal,1,1,1.0,68.6,7,4,2,1,0,92,120,-28,0,atencao
